ReplayID,Map Name,Length,Hero,Lvl,Result,Date and Time (UTC),Share Replay
160056086,Dragon Shire,00:32:33,Probius,8,1,11/7/2018 2:46:35 PM, 
160010359,Battlefield of Eternity,00:22:10,Kharazim,20,1,11/6/2018 9:05:51 PM, 
160008175,Alterac Pass,00:37:02,Azmodan,19,0,11/6/2018 8:34:26 PM, 
160005121,Cursed Hollow,00:18:56,Mal'Ganis,6,1,11/6/2018 7:45:18 PM, 
160003395,Dragon Shire,00:19:35,Mal'Ganis,6,0,11/6/2018 7:11:18 PM, 
160000628,Battlefield of Eternity,00:24:26,Probius,8,0,11/6/2018 6:26:41 PM, 
159998470,Sky Temple,00:18:39,Mal'Ganis,6,1,11/6/2018 5:53:40 PM, 
159993474,Volskaya Foundry,00:20:19,Kharazim,20,1,11/6/2018 4:25:03 PM, 
159991819,Cursed Hollow,00:23:31,Anub'arak,20,1,11/6/2018 3:53:14 PM, 
159987992,Dragon Shire,00:17:10,Li Li,20,1,11/6/2018 2:22:53 PM, 
159943660,Towers of Doom,00:22:43,Azmodan,19,1,11/5/2018 9:18:44 PM, 
159941815,Tomb of the Spider Queen,00:16:38,Li Li,20,1,11/5/2018 8:44:13 PM, 
159940812,Infernal Shrines,00:16:24,Whitemane,10,0,11/5/2018 8:18:06 PM, 
159939279,Alterac Pass,00:21:02,Sonya,14,1,11/5/2018 7:53:39 PM, 
159937029,Braxis Holdout,00:20:34,Probius,7,0,11/5/2018 7:22:51 PM, 
159934810,Dragon Shire,00:14:54,Kharazim,20,1,11/5/2018 6:45:38 PM, 
159933626,Infernal Shrines,00:15:09,Probius,7,1,11/5/2018 6:20:28 PM, 
159928079,Sky Temple,00:15:13,Artanis,20,0,11/5/2018 4:05:22 PM, 
159926903,Braxis Holdout,00:19:27,Anub'arak,20,1,11/5/2018 3:38:51 PM, 
159897148,Cursed Hollow,00:23:28,Sonya,14,1,11/5/2018 3:28:02 AM, 
159895860,Alterac Pass,00:21:57,Li Li,20,0,11/5/2018 2:56:13 AM, 
159894600,Volskaya Foundry,00:18:41,Li Li,20,1,11/5/2018 2:21:58 AM, 
159893502,Battlefield of Eternity,00:25:17,Johanna,5,1,11/5/2018 1:54:07 AM, 
159876259,Infernal Shrines,00:20:56,Li Li,20,0,11/4/2018 8:04:10 PM, 
159871716,Tomb of the Spider Queen,00:21:08,Artanis,20,0,11/4/2018 6:33:13 PM, 
159869059,Sky Temple,00:20:54,Blaze,17,0,11/3/2018 5:53:45 PM, 
159869052,Alterac Pass,00:24:23,Li Li,20,1,11/3/2018 5:11:36 PM, 
159751610,Braxis Holdout,00:23:32,Azmodan,19,1,11/3/2018 2:36:47 AM, 
159750320,Tomb of the Spider Queen,00:25:51,Kharazim,20,0,11/3/2018 2:03:01 AM, 
159748984,Sky Temple,00:18:31,Mal'Ganis,6,1,11/3/2018 1:26:03 AM, 
159748029,Cursed Hollow,00:27:38,Johanna,5,0,11/3/2018 12:54:16 AM, 
159733543,Braxis Holdout,00:33:01,Li Li,20,0,11/2/2018 6:35:02 PM, 
159721202,Tomb of the Spider Queen,00:28:43,Kharazim,20,1,11/2/2018 2:34:38 PM, 
159719420,Dragon Shire,00:25:58,Li Li,20,0,11/2/2018 1:52:14 PM, 
159717293,Battlefield of Eternity,00:15:52,Azmodan,18,0,11/2/2018 12:59:55 PM, 
159679904,Cursed Hollow,00:16:37,Azmodan,18,1,11/1/2018 8:04:32 PM, 
159678578,Alterac Pass,00:21:20,Li Li,20,1,11/1/2018 7:35:12 PM, 
159676813,Cursed Hollow,00:22:39,Tracer,20,0,11/1/2018 7:04:52 PM, 
159671656,Tomb of the Spider Queen,00:11:44,Brightwing,20,1,11/1/2018 5:25:09 PM, 
159670633,Towers of Doom,00:18:10,Tracer,20,0,11/1/2018 5:01:18 PM, 
159669067,Volskaya Foundry,00:14:36,Nazeebo,20,1,11/1/2018 4:24:56 PM, 
159667672,Cursed Hollow,00:23:31,Li Li,20,1,11/1/2018 3:41:13 PM, 
159665659,Tomb of the Spider Queen,00:16:23,Diablo,20,0,11/1/2018 3:04:14 PM, 
159663986,Infernal Shrines,00:15:12,Li Li,20,0,11/1/2018 2:32:28 PM, 
159662426,Battlefield of Eternity,00:16:07,Li Li,20,1,11/1/2018 2:06:46 PM, 
159660908,Braxis Holdout,00:34:33,Kharazim,20,1,11/1/2018 1:39:36 PM, 
159615287,Volskaya Foundry,00:22:09,Brightwing,20,0,10/31/2018 7:23:44 PM, 
159613402,Sky Temple,00:18:52,Li Li,20,1,10/31/2018 6:43:00 PM, 
159612183,Battlefield of Eternity,00:14:33,Li Li,20,1,10/31/2018 6:15:23 PM, 
159610979,Towers of Doom,00:16:47,Azmodan,18,0,10/31/2018 5:47:25 PM, 
159609233,Volskaya Foundry,00:14:01,Li Li,20,1,10/31/2018 5:14:12 PM, 
159605488,Infernal Shrines,00:18:07,Mal'Ganis,5,1,10/31/2018 3:50:54 PM, 
159603355,Volskaya Foundry,00:24:43,Diablo,20,1,10/31/2018 3:21:32 PM, 
159600916,Battlefield of Eternity,00:18:36,Artanis,20,0,10/31/2018 2:40:45 PM, 
159599439,Alterac Pass,00:19:37,Li Li,20,0,10/31/2018 2:08:35 PM, 
159598384,Infernal Shrines,00:16:56,Brightwing,20,0,10/31/2018 1:38:58 PM, 
159571455,Tomb of the Spider Queen,00:19:41,Mal'Ganis,5,1,10/31/2018 1:17:28 AM, 
159570352,Braxis Holdout,00:17:32,Li Li,20,1,10/31/2018 12:49:17 AM, 
159557222,Cursed Hollow,00:28:16,Li Li,20,1,10/30/2018 8:54:52 PM, 
159554893,Infernal Shrines,00:16:23,Diablo,20,1,10/30/2018 8:19:32 PM, 
159553152,Volskaya Foundry,00:19:37,Li Li,20,1,10/30/2018 7:55:08 PM, 
159550569,Battlefield of Eternity,00:25:48,Li Li,20,0,10/30/2018 7:21:56 PM, 
159546958,Tomb of the Spider Queen,00:18:09,Brightwing,20,0,10/30/2018 5:44:38 PM, 
159545229,Towers of Doom,00:17:47,Anub'arak,20,0,10/30/2018 5:12:59 PM, 
159543660,Dragon Shire,00:17:01,Li Li,20,1,10/30/2018 4:45:02 PM, 
159540760,Volskaya Foundry,00:24:07,Diablo,20,1,10/30/2018 3:46:50 PM, 
159539315,Infernal Shrines,00:26:20,Li Li,20,0,10/30/2018 3:13:18 PM, 
159536961,Sky Temple,00:16:34,Anub'arak,20,1,10/30/2018 2:17:33 PM, 
